sex,init_bmi,chng_bmi,age,n_microbiol,pancreatic_enzyme_suppl,lag_fev,lag_bmi,pred,lower,upper,ageg,vary,weight_cat
F,14.2,1.4000000000000001,10,14.521808818119705,TRUE,70,15.6,4.999077940814526,4.658811230716225,5.339344650912826,Child,Change in BMI,Underweight
F,14.2,1.5,10,14.521808818119705,TRUE,70,15.7,5.2762124989447035,4.926456133977446,5.625968863911961,Child,Change in BMI,Underweight
F,14.2,1.6,10,14.521808818119705,TRUE,70,15.799999999999999,5.547936621296408,5.1895570545798115,5.906316188013005,Child,Change in BMI,Underweight
F,14.2,1.7000000000000002,10,14.521808818119705,TRUE,70,15.899999999999999,5.813500363326898,5.44758946932244,6.179411257331355,Child,Change in BMI,Underweight
F,14.2,1.8,10,14.521808818119705,TRUE,70,16,6.072137755722117,5.699935029201543,6.44434048224269,Child,Change in BMI,Underweight
F,14.2,1.9000000000000001,10,14.521808818119705,TRUE,70,16.099999999999998,6.323175565048942,5.945951237093918,6.700399893003966,Child,Change in BMI,Underweight
F,14.2,2,10,14.521808818119705,TRUE,70,16.2,6.566380954460147,6.18521873507401,6.947543173846284,Child,Change in BMI,Underweight
F,14.2,2.1,10,14.521808818119705,TRUE,70,16.3,6.801702151550699,6.417384953307421,7.186019349793977,Child,Change in BMI,Underweight
F,14.2,2.2,10,14.521808818119705,TRUE,70,16.4,7.0291747423886415,6.642109672198278,7.416239812579005,Child,Change in BMI,Underweight
F,14.2,2.3000000000000003,10,14.521808818119705,TRUE,70,16.5,7.248921671515045,6.859077065924576,7.638766277105513,Child,Change in BMI,Underweight
F,14.2,2.4000000000000004,10,14.521808818119705,TRUE,70,16.6,7.461153241944082,7.06801468230099,7.854291801587174,Child,Change in BMI,Underweight
F,14.2,2.5,10,14.521808818119705,TRUE,70,16.7,7.666167115162944,7.2687211884525835,8.063613041873305,Child,Change in BMI,Underweight
F,14.2,2.6,10,14.521808818119705,TRUE,70,16.8,7.864348311131907,7.461102915901044,8.267593706362769,Child,Change in BMI,Underweight
F,14.2,2.7,10,14.521808818119705,TRUE,70,16.9,8.056169208284274,7.645216563042739,8.467121853525809,Child,Change in BMI,Underweight
F,14.2,2.8000000000000003,10,14.521808818119705,TRUE,70,17,8.24218954352645,7.821312543122268,8.663066543930633,Child,Change in BMI,Underweight
F,14.2,2.9000000000000004,10,14.521808818119705,TRUE,70,17.1,8.423056412237852,7.989871708323945,8.856241116151757,Child,Change in BMI,Underweight
F,14.2,3,10,14.521808818119705,TRUE,70,17.2,8.599504268271003,8.15162877403241,9.047379762509596,Child,Change in BMI,Underweight
F,14.2,3.1,10,14.521808818119705,TRUE,70,17.3,8.772354923951443,8.307578873903042,9.237130973999845,Child,Change in BMI,Underweight
F,14.2,3.2,10,14.521808818119705,TRUE,70,17.4,8.942517550077799,8.45896798375072,9.426067116404878,Child,Change in BMI,Underweight
F,14.2,3.3000000000000003,10,14.521808818119705,TRUE,70,17.5,9.110988675921735,8.607271460058076,9.614705891785395,Child,Change in BMI,Underweight
F,14.2,3.4000000000000004,10,14.521808818119705,TRUE,70,17.6,9.278852189227988,8.75416630003679,9.803538078419187,Child,Change in BMI,Underweight
F,14.2,3.5,10,14.521808818119705,TRUE,70,17.7,9.44708237876361,8.901254821928593,9.992909935598629,Child,Change in BMI,Underweight
F,14.2,3.6,10,14.521808818119705,TRUE,70,17.8,9.615917408890871,9.049220188024224,10.182614629757518,Child,Change in BMI,Underweight
F,14.2,3.7,10,14.521808818119705,TRUE,70,17.9,9.785387799038421,9.198425178262456,10.372350419814387,Child,Change in BMI,Underweight
F,14.2,3.8000000000000003,10,14.521808818119705,TRUE,70,18,9.955504467883257,9.349147061184599,10.561861874581915,Child,Change in BMI,Underweight
F,14.2,3.9000000000000004,10,14.521808818119705,TRUE,70,18.1,10.126258733350772,9.501585236215096,10.750932230486448,Child,Change in BMI,Underweight
F,14.2,4,10,14.521808818119705,TRUE,70,18.2,10.297622312614717,9.655867817211501,10.939376808017933,Child,Change in BMI,Underweight
F,14.2,4.1000000000000005,10,14.521808818119705,TRUE,70,18.3,10.469547322097233,9.812057094580476,11.12703754961399,Child,Change in BMI,Underweight
